id,type,lang,author_id,url,title
5525,post,en,4,https://erofwhiterock.com/what-to-tell-er-team/,What to Tell the ER Team: A Medication and Symptom Note
5510,page,en,7,https://erofwhiterock.com/cookie-policy/,Cookie Policy
5511,page,es,7,https://erofwhiterock.com/es/politica-de-cookies/,Política de Cookies
5496,page,en,7,https://erofwhiterock.com/sala-de-emergencias-cerca-de-richardson/,"Sala de Emergencias Cerca de Richardson, TX"
5495,page,en,7,https://erofwhiterock.com/emergency-room-richardson-tx/,"Emergency Room Near Richardson, TX"
5470,page,es,7,https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-forest-hills/,"Sala de Emergencias Cerca de Forest Hills, Dallas, TX"
5471,page,es,7,https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-mesquite/,"Sala de Emergencias Cerca de Mesquite, TX"
5469,page,es,7,https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-casa-view/,"Sala de Emergencias Cerca de Casa View, Dallas, TX"
5468,page,es,7,https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-casa-linda/,"Sala de Emergencias Cerca de Casa Linda, Dallas, TX"
5466,page,en,7,https://erofwhiterock.com/emergency-room-mesquite-tx/,"Emergency Room Near Mesquite, TX"
5463,page,en,7,https://erofwhiterock.com/emergency-room-forest-hills-tx/,"Emergency Room Near Forest Hills, Dallas, TX"
5462,page,en,7,https://erofwhiterock.com/emergency-room-casa-view-tx/,"Emergency Room Near Casa View, Dallas, TX"
5460,page,en,7,https://erofwhiterock.com/emergency-room-casa-linda-tx/,"Emergency Room Near Casa Linda, Dallas, TX"
5437,post,en,4,https://erofwhiterock.com/how-long-does-an-er-visit-take/,How Long Does an ER Visit Take? A Step by Step Look at the Timeline
5438,post,es,4,https://erofwhiterock.com/es/cuanto-dura-una-visita-a-emergencias/,¿Cuánto Dura una Visita a la Sala de Emergencias? El Recorrido Paso a Paso
5424,post,es,4,https://erofwhiterock.com/es/cuando-ir-a-emergencias-golpe-en-la-cabeza/,¿Se Golpeó la Cabeza? Cuándo Ir a la Sala de Emergencias y Cuándo Observar en Casa
5419,post,en,4,https://erofwhiterock.com/when-to-go-to-er-after-hitting-head/,Hit Your Head? When to Go to the ER and When to Watch at Home
5407,page,en,7,https://erofwhiterock.com/letter-of-protection/,Letter of Protection
5394,page,es,7,https://erofwhiterock.com/es/lesion-cerebral-traumatica-white-rock/,"Tratamiento de Lesión Cerebral Traumática (LCT) en White Rock, TX"
5391,page,en,7,https://erofwhiterock.com/editorial-policy/,Editorial and Medical Review Policy
5390,page,en,7,https://erofwhiterock.com/services/tbi-treatment/,"Traumatic Brain Injury (TBI) Treatment in White Rock, TX"
5378,page,es,7,https://erofwhiterock.com/es/tratamiento-conmocion-cerebral-white-rock/,"Tratamiento de Conmoción Cerebral en White Rock, TX"
5375,page,en,7,https://erofwhiterock.com/services/concussion-treatment/,"Concussion Treatment in White Rock, TX"
5370,page,es,7,https://erofwhiterock.com/es/tratamiento-dolor-abdominal-white-rock/,"Tratamiento de Emergencia para el Dolor Abdominal en White Rock, TX"
